country,year,nuclear,total,nuclear_share,co2_per_capita
Belgium,2020,34434.7,89453.591,0.3849448592846317,7.9076037
Bulgaria,2020,16625.765,40754.441,0.4079497741117342,5.274422
Czechia,2020,30043.28,81524.535,0.3685182626309981,8.688184
Denmark,2020,0.0,28728.658,0.0,4.8528743
Germany,2020,64382.0,575462.0,0.1118788034657371,7.738692
Estonia,2020,0.0,6078.456,0.0,6.917664
Ireland,2020,0.0,32459.798,0.0,7.0349927
Greece,2020,0.0,48251.884,0.0,5.1944113
Spain,2020,58299.0,263373.0,0.2213552642070371,4.441423
France,2020,353832.867,532772.603,0.6641348766952269,4.271517
Croatia,2020,0.0,13385.3,0.0,4.2666397
Italy,2020,0.0,280531.016,0.0,5.0506783
Cyprus,2020,0.0,4849.194,0.0,5.300958
Latvia,2020,0.0,5724.846,0.0,3.681657
Lithuania,2020,0.0,5517.5,0.0,4.8285885
Luxembourg,2020,0.0,2234.264,0.0,12.795942
Hungary,2020,16055.0,34930.0,0.4596335528199256,4.831583
Malta,2020,0.0,2143.076,0.0,3.089255
Netherlands,2020,4087.363,123278.129,0.033155621626931,7.7664127
Austria,2020,0.0,72558.154,0.0,6.969737
Poland,2020,0.0,158042.741,0.0,7.914448
Portugal,2020,0.0,53078.401,0.0,4.024692
Romania,2020,11466.404,55934.902,0.2049955142497612,3.81315
Slovenia,2020,6352.766,17190.698,0.3695467164858576,6.1229367
Slovakia,2020,15444.0,28838.0,0.5355433802621541,5.7151237
Finland,2020,23291.0,69267.072,0.3362492354231459,6.82145
Sweden,2020,49198.0,163833.0,0.3002935916451508,3.5371203
Belgium,2021,50326.2,100481.8,0.5008489099518519,8.204076
Bulgaria,2021,16486.894,47568.096,0.3465956257740482,6.1601954
Czechia,2021,30731.18,85015.679,0.3614766165662219,9.175987
Denmark,2021,0.0,33050.615,0.0,5.0545783
Germany,2021,69130.0,592799.2,0.116616216756028,8.100614
Estonia,2021,0.0,7204.459,0.0,7.8024516
Ireland,2021,0.0,32028.121,0.0,7.4523654
Greece,2021,0.0,54715.129,0.0,5.4376464
Spain,2021,56564.0,274312.0,0.2062031555309282,4.793181
France,2021,379361.292,555555.346,0.6828505831712399,4.649748
Croatia,2021,0.0,15210.4,0.0,4.4343224
Italy,2021,0.0,289069.53,0.0,5.6242104
Cyprus,2021,0.0,5119.423,0.0,5.2764926
Latvia,2021,0.0,5846.221,0.0,3.8281586
Lithuania,2021,0.0,5078.6,0.0,4.9304504
Luxembourg,2021,0.0,2210.988,0.0,13.134188
Hungary,2021,15990.0,36120.3,0.4426873530950739,4.9780636
Malta,2021,0.0,2214.863,0.0,3.072962
Netherlands,2021,3827.956,122170.455,0.0313329110544771,7.889522
Austria,2021,0.0,70756.858,0.0,7.3325477
Poland,2021,0.0,179631.509,0.0,8.693247
Portugal,2021,0.0,50979.562,0.0,3.8783576
Romania,2021,11284.32,59470.264,0.189747265961355,4.026425
Slovenia,2021,5705.951,15876.922,0.3593864730204003,6.186983
Slovakia,2021,15730.0,30016.0,0.5240538379530917,6.47673
Finland,2021,23598.0,72120.231,0.327203610870298,6.825398
Sweden,2021,52965.0,171798.0,0.3082981175566653,3.7027159
Belgium,2022,43879.1,95950.3,0.4573107118998064,7.6375527
Bulgaria,2022,16462.018,50499.304,0.325985047239463,6.8755846
Czechia,2022,31021.81,84850.684,0.3656047133338371,8.904502
Denmark,2022,0.0,35332.288,0.0,4.9288173
Germany,2022,34709.0,578948.015,0.0599518421356017,7.942359
Estonia,2022,0.0,8936.849,0.0,8.863261
Ireland,2022,0.0,34045.218,0.0,7.177214
Greece,2022,0.0,52670.055,0.0,5.532692
Spain,2022,58590.0,292454.0,0.2003391986432054,4.8971643
France,2022,294731.038,475188.887,0.620239753207865,4.4555726
Croatia,2022,0.0,14220.5,0.0,4.500902
Italy,2022,0.0,283961.32,0.0,5.704794
Cyprus,2022,0.0,5267.931,0.0,5.3108797
Latvia,2022,0.0,5030.972,0.0,3.5129132
Lithuania,2022,0.0,4782.8,0.0,4.5777125
Luxembourg,2022,0.0,2268.848,0.0,11.134566
Hungary,2022,15812.0,35801.76,0.4416542650417186,4.674298
Malta,2022,0.0,2292.928,0.0,3.3590784
Netherlands,2022,4156.313,121572.848,0.0341878393767661,7.1213217
Austria,2022,0.0,69174.038,0.0,6.779517
Poland,2022,0.0,179748.121,0.0,8.20336
Portugal,2022,0.0,48807.732,0.0,3.9092069
Romania,2022,11088.709,56002.62,0.1980033969839268,3.8183794
Slovenia,2022,5605.508,13616.519,0.4116696785720344,6.017234
Slovakia,2022,15920.0,26838.0,0.5931887622028467,5.771668
Finland,2022,25336.0,72186.834,0.3509781298900018,6.5245185
