country,year,nuclear,total,nuclear_share
Sweden,2020,49198.0,163833.0,0.30029359164515085
Belgium,2021,50326.2,100481.8,0.5008489099518519
Bulgaria,2021,16486.894,47568.096,0.34659562577404823
Czechia,2021,30731.18,85015.679,0.3614766165662219
Denmark,2021,0.0,33050.615,0.0
Germany,2021,69130.0,592799.2,0.11661621675602803
Estonia,2021,0.0,7204.459,0.0
Ireland,2021,0.0,32028.121,0.0
Greece,2021,0.0,54715.129,0.0
Spain,2021,56564.0,274312.0,0.20620315553092827
France,2021,379361.292,555555.346,0.6828505831712399
Croatia,2021,0.0,15210.4,0.0
Italy,2021,0.0,289069.53,0.0
Cyprus,2021,0.0,5119.423,0.0
Latvia,2021,0.0,5846.221,0.0
Lithuania,2021,0.0,5078.6,0.0
Luxembourg,2021,0.0,2210.988,0.0
Hungary,2021,15990.0,36120.3,0.4426873530950739
Malta,2021,0.0,2214.863,0.0
Netherlands,2021,3827.956,122170.455,0.03133291105447712
Austria,2021,0.0,70756.858,0.0
Poland,2021,0.0,179631.509,0.0
Portugal,2021,0.0,50979.562,0.0
Romania,2021,11284.32,59470.264,0.18974726596135505
Slovenia,2021,5705.951,15876.922,0.3593864730204003
Slovakia,2021,15730.0,30016.0,0.5240538379530917
Finland,2021,23598.0,72120.231,0.327203610870298
Sweden,2021,52965.0,171798.0,0.30829811755666536
Belgium,2022,43879.1,95950.3,0.45731071189980643
Bulgaria,2022,16462.018,50499.304,0.325985047239463
Czechia,2022,31021.81,84850.684,0.36560471333383715
Denmark,2022,0.0,35332.288,0.0
Germany,2022,34709.0,578948.015,0.05995184213560176
Estonia,2022,0.0,8936.849,0.0
Ireland,2022,0.0,34045.218,0.0
Greece,2022,0.0,52670.055,0.0
Spain,2022,58590.0,292454.0,0.20033919864320543
France,2022,294731.038,475188.887,0.620239753207865
Croatia,2022,0.0,14220.5,0.0
Italy,2022,0.0,283961.32,0.0
Cyprus,2022,0.0,5267.931,0.0
Latvia,2022,0.0,5030.972,0.0
Lithuania,2022,0.0,4782.8,0.0
Luxembourg,2022,0.0,2268.848,0.0
Hungary,2022,15812.0,35801.76,0.4416542650417186
Malta,2022,0.0,2292.928,0.0
Netherlands,2022,4156.313,121572.848,0.0341878393767661
Austria,2022,0.0,69174.038,0.0
Poland,2022,0.0,179748.121,0.0
Portugal,2022,0.0,48807.732,0.0
Romania,2022,11088.709,56002.62,0.19800339698392683
Slovenia,2022,5605.508,13616.519,0.41166967857203446
